,locality,postcode,kitchen_has,furnished,facades_number
57801,1050,1050.0,1,0,-999
57802,1050,1050.0,1,0,-999
57803,1180,1180.0,1,0,-999
57804,3700,3700.0,1,0,-999
57805,8430,8430.0,1,0,-999
57806,2140,2140.0,1,0,-999
57807,1020,1020.0,1,0,-999
57808,8450,8450.0,1,0,-999
57809,9150,9150.0,1,0,-999
57810,1180,1180.0,1,0,-999
57811,8400,8400.0,1,0,-999
57812,8430,8430.0,1,0,-999
57813,8400,8400.0,1,0,-999
57814,1180,1180.0,1,0,-999
57815,1050,1050.0,1,0,-999
57816,1150,1150.0,1,0,-999
57817,1050,1050.0,1,0,-999
57818,1050,1050.0,1,0,-999
57819,1140,1140.0,1,0,-999
57820,1850,1850.0,0,0,-999
57821,1850,1850.0,0,0,-999
57822,5100,5100.0,1,1,-999
57823,4500,4500.0,1,0,-999
57824,8434,8434.0,1,0,-999
57825,1160,1160.0,1,0,-999
57826,6700,6700.0,1,0,-999
57827,7090,7090.0,1,0,-999
57828,1850,1850.0,1,0,-999
57829,8540,8540.0,1,0,-999
57830,8370,8370.0,1,0,-999
57831,4540,4540.0,1,0,-999
57832,6600,6600.0,1,0,-999
57833,6600,6600.0,1,0,-999
57834,2660,2660.0,1,0,-999
57835,6600,6600.0,1,0,-999
57836,6600,6600.0,1,0,-999
57837,6600,6600.0,1,0,-999
57838,1000,1000.0,1,0,-999
57839,8210,8210.0,1,0,-999
57840,6600,6600.0,1,0,-999
57841,6600,6600.0,1,0,-999
57842,1000,1000.0,1,0,-999
57843,1180,1180.0,1,0,-999
57844,1180,1180.0,1,0,-999
57845,6600,6600.0,1,0,-999
57846,6600,6600.0,1,0,-999
57847,1932,1932.0,1,0,-999
57848,8300,8300.0,1,1,-999
57849,1040,1040.0,1,0,-999
57850,1200,1200.0,1,0,-999
57851,1050,1050.0,1,0,-999
57852,1180,1180.0,1,0,-999
57853,1180,1180.0,1,0,-999
57854,1170,1170.0,1,0,-999
57855,8300,8300.0,1,0,-999
57856,8300,8300.0,1,0,-999
57857,8300,8300.0,1,0,-999
57858,1000,1000.0,1,0,-999
57859,1050,1050.0,1,0,-999
57860,8300,8300.0,1,1,-999
57861,1000,1000.0,1,0,-999
57862,1050,1050.0,1,0,-999
57863,8300,8300.0,1,0,-999
57864,1000,1000.0,1,0,-999
57865,1050,1050.0,1,0,-999
57866,1000,1000.0,1,0,-999
57867,1050,1050.0,1,0,-999
57868,2150,2150.0,1,0,-999
57869,7500,7500.0,1,0,-999
57870,4500,4500.0,1,0,-999
57871,9620,9620.0,1,0,-999
57872,1190,1190.0,1,0,-999
57873,1000,1000.0,1,0,-999
57874,1050,1050.0,1,0,-999
57875,1170,1170.0,1,0,-999
57876,1050,1050.0,0,0,-999
57877,1180,1180.0,1,0,-999
57878,1300,1300.0,1,0,-999
57879,8800,8800.0,1,0,-999
57880,2930,2930.0,1,0,-999
57881,1200,1200.0,1,0,-999
57882,6001,6001.0,1,0,-999
57883,8620,8620.0,0,0,-999
57884,7100,7100.0,1,0,-999
57885,1000,1000.0,1,0,-999
57886,1180,1180.0,1,0,-999
57887,2830,2830.0,1,0,-999
57888,1030,1030.0,1,0,-999
57889,1140,1140.0,1,0,-999
57890,1180,1180.0,1,0,-999
57891,2850,2850.0,1,0,-999
57892,8710,8710.0,1,0,-999
57893,1703,1703.0,1,0,-999
57894,3080,3080.0,1,0,-999
57895,8020,8020.0,1,0,-999
57896,1050,1050.0,1,0,-999
57897,5000,5000.0,1,0,-999
57898,1180,1180.0,1,0,-999
57899,7090,7090.0,1,0,-999
57900,2170,2170.0,1,0,-999
57901,9340,9340.0,1,0,-999
57902,1090,1090.0,1,0,-999
57903,8400,8400.0,1,0,-999
57904,9870,9870.0,1,0,-999
57905,1400,1400.0,1,0,-999
57906,8400,8400.0,1,0,-999
57907,8930,8930.0,1,0,-999
57908,8400,8400.0,1,0,-999
57909,2830,2830.0,1,0,-999
57910,2160,2160.0,1,0,-999
57911,1731,1731.0,1,0,-999
57912,8400,8400.0,1,0,-999
57913,2850,2850.0,1,0,-999
57914,8300,8300.0,1,0,-999
57915,1500,1500.0,1,0,-999
57916,1180,1180.0,1,0,-999
57917,8300,8300.0,1,0,-999
57918,1180,1180.0,1,0,-999
57919,1180,1180.0,1,0,-999
57920,8300,8300.0,1,0,-999
57921,1150,1150.0,1,0,-999
57922,1000,1000.0,1,0,-999
